customer_id,customer_name,city,product,BRAND,quantity,price
1,ARJUN,PUNE,MOBILE,SAMSUNG,1,78000
2,SNEHA,MUMBAI,LAPTOP,HP,1,51000
3,AKASH,BANGALORE,i-PAD,APPLE,1,99900
4,RITU,CHENNAI,SMARTWATCH,SAMSUNG,3,20000
5,MEENA,DELHI,LAPTOP,HP,2,45000
6,RAHUL,CHANDIGARH,I-PHONE,APPLE,2,150000
7,PRIYA,HYDERABAD,SMARTWATCH,APPLE,4,40000
8,AMIT,BHUBANESWAR,TABLET, DELL,2,30000
9,NEHA,BANGALORE,FITNESS RING,SAMSUNG,4,20000
10,KARAN,KOLKATA,MACBOOK,APPLE,1,199000
11,RAJ,PUNE,MOBILE,REALME,2,40000
12,RAHUL,MUMBAI,HEADPHONES,BOAT,2,5000
13,AMAN,BANGALORE,TABLET, DELL,1,400000
14,AMAR,DELHI, AIRPODS,APPLE,2,19000
15,HARSH,DELHI,MOBILE,ONEPLUS,2,80000
16,HARRY,MUMBAI,LAPTOP,LENOVO,1,100000
17,YASH,HYDERABAD,TABLET,SAMSUNG,2,32000
18,ARJUN,BANGALORE,TABLET,SAMSUNG,1,25000
19,PARTH,MUMBAI,LAPTOP, LENOVO,2,65000
20,KRISHNA,KOLKATA,MOBILE,VIVO,3,55000
